Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,embryo_type,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,embryo_type_in_silico,methods,antibody,Developmental_Stage,tissue,need
SRR24442072,RNA-Seq,302,1738515246,PRJNA967384,SAMN34590199,745906673,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2PN,SRX20229473,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299850,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299850,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,2PN,RNA-seq,,,,1
SRR24442073,RNA-Seq,302,2267592972,PRJNA967384,SAMN34590200,986183715,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2PN,SRX20229472,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299849,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:23:00Z,1,GSM7299849,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,2PN,RNA-seq,,,,0
SRR24442074,RNA-Seq,302,2055440690,PRJNA967384,SAMN34590201,874983091,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",1PN,SRX20229471,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299848,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299848,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,Parthenote,RNA-seq,,,,0
SRR24442075,RNA-Seq,302,2106188770,PRJNA967384,SAMN34590202,887773269,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2PN,SRX20229470,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299847,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299847,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442076,RNA-Seq,302,2049643800,PRJNA967384,SAMN34590203,869106285,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2PN,SRX20229469,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299846,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299846,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442077,RNA-Seq,302,2679344000,PRJNA967384,SAMN34590204,1128737564,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX20229468,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299845,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299845,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442078,RNA-Seq,302,1591608554,PRJNA967384,SAMN34590205,681187275,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2PN,SRX20229467,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299844,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:21:00Z,1,GSM7299844,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442079,RNA-Seq,302,2055938386,PRJNA967384,SAMN34590206,872317973,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2PN,SRX20229466,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299843,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299843,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442080,RNA-Seq,302,2576576420,PRJNA967384,SAMN34590207,1083395016,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2PN,SRX20229465,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299842,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:24:00Z,1,GSM7299842,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442081,RNA-Seq,302,2054061758,PRJNA967384,SAMN34590208,880510626,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2PN,SRX20229464,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299841,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:23:00Z,1,GSM7299841,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
