Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,create_date,version,chip_antibody,chip_antibody_vendor,tissue/cell_type,Developmental_Stage,,need
SRR3105437,ChIP-Seq,252,169599780,PRJNA309055,SAMN04419982,60584930,GEO,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533841,GSM2041092,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041092,Somatic cortex,SRP068549,C57BL/6N,,,H3K27Me3,Diagenode,Somatic cortex,,,0
SRR3105438,ChIP-Seq,202,2610598308,PRJNA309055,SAMN04419982,1399968967,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533841,GSM2041092,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041092,Somatic cortex,SRP068549,C57BL/6N,2016-01-18T09:56:00Z,1,H3K27Me3,Diagenode,Somatic cortex,,,0
SRR3105439,ChIP-Seq,51,466758528,PRJNA309055,SAMN04419983,235871457,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533842,GSM2041093,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041093,Somatic liver,SRP068549,C57BL/6N,2016-01-18T09:55:00Z,1,H3K27Me3,Diagenode,Somatic liver,,,0
SRR3105440,ChIP-Seq,252,541195704,PRJNA309055,SAMN04419983,205966499,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533842,GSM2041093,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041093,Somatic liver,SRP068549,C57BL/6N,2016-01-18T10:00:00Z,1,H3K27Me3,Diagenode,Somatic liver,,,0
SRR3105441,ChIP-Seq,202,7176020104,PRJNA309055,SAMN04419983,3419058194,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533842,GSM2041093,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041093,Somatic liver,SRP068549,C57BL/6N,2016-01-18T10:13:00Z,1,H3K27Me3,Diagenode,Somatic liver,,,0
SRR3105442,ChIP-Seq,51,3652722255,PRJNA309055,SAMN04419953,1783465254,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533843,GSM2041094,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041094,Embryonic stem cell,SRP068549,R1,2016-01-18T10:04:00Z,1,H3K27Me3,Diagenode,Embryonic stem cell,,,0
SRR3105443,RNA-Seq,51,390593904,PRJNA309055,SAMN04419954,189207625,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533844,GSM2041095,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041095,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-01-18T09:52:00Z,1,,,Preimplantation embryo,,,1
SRR3105444,RNA-Seq,51,632775564,PRJNA309055,SAMN04419976,303566064,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533845,GSM2041096,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041096,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-01-18T09:56:00Z,1,,,Preimplantation embryo,,,1
SRR3620823,ChIP-Seq,51,168906084,PRJNA309055,SAMN05196278,81715543,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1816625,GSM2184778,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2184778,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-06-02T10:21:00Z,1,H3K27Me3,ActiveMotif,,Preimplantation embryo,,0
SRR3620824,ChIP-Seq,101,14188933288,PRJNA309055,SAMN05196278,6698321655,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1816625,GSM2184778,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2184778,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-06-02T10:55:00Z,1,H3K27Me3,ActiveMotif,,Preimplantation embryo,,0
